raceId,driverId,vueltas_totales,tiempo_vuelta_promedio_seg,tiempo_vuelta_mas_rapida_seg,paradas_totales,tiempo_total_boxes_seg,tiempo_promedio_parada_seg
1,1,58,97.56375862068965,89.02,,,
1,2,58,97.6356724137931,88.283,,,
1,3,58,97.6121724137931,87.706,,,
1,4,58,97.59763793103448,88.712,,,
1,6,17,91.82223529411765,89.923,,,
1,7,58,97.62210344827585,89.823,,,
1,8,55,97.0782,88.488,,,
1,9,55,95.1606909090909,87.988,,,
1,10,58,97.58998275862069,88.416,,,
1,12,24,101.76558333333332,90.502,,,
1,13,45,97.00235555555555,89.141,,,
1,15,58,97.5411724137931,88.916,,,
1,16,58,97.62274137931034,88.943,,,
1,17,57,99.23152631578948,88.508,,,
1,18,58,97.5135172413793,88.02,,,
1,20,56,96.32544642857144,88.14,,,
1,21,58,97.6406551724138,89.005,,,
1,22,58,97.52743103448276,89.066,,,
1,67,58,97.61703448275863,89.23,,,
2,1,31,109.39854838709677,99.141,,,
2,2,31,108.1723870967742,99.084,,,
2,3,31,109.74832258064517,97.598,,,
2,4,31,110.96916129032257,99.006,,,
2,6,31,111.18554838709677,99.387,,,
2,7,31,110.73503225806452,99.242,,,
2,8,31,112.04719354838709,98.453,,,
2,9,1,122.738,122.738,,,
2,10,31,108.19790322580646,99.406,,,
2,12,31,111.20435483870968,99.268,,,
2,13,31,109.92109677419354,99.25,,,
2,15,31,108.92887096774194,97.591,,,
2,16,30,111.94753333333334,99.464,,,
2,17,31,109.12758064516129,97.672,,,
2,18,31,107.4394193548387,96.641,,,
2,20,30,108.1168,98.427,,,
2,21,29,110.20913793103448,99.407,,,
2,22,31,108.96716129032258,97.484,,,
2,67,30,109.02453333333334,98.938,,,
3,1,56,127.41698214285715,114.665,,,
3,2,56,127.84498214285715,114.158,,,
3,3,55,129.29216363636363,114.243,,,
3,4,56,127.63917857142856,114.481,,,
3,5,56,127.29619642857143,114.516,,,
3,6,43,133.3747441860465,116.167,,,
3,7,56,127.81501785714285,113.474,,,
3,8,56,127.77205357142857,115.396,,,
3,9,56,128.04175,115.35,,,
3,10,56,127.46358928571429,112.703,,,
3,12,54,131.41492592592593,115.535,,,
3,13,20,139.6482,116.484,,,
3,15,18,149.04672222222223,120.33,,,
3,16,50,128.63774,114.777,,,
3,17,56,126.32955357142856,112.98,,,
3,18,56,126.9367857142857,113.546,,,
3,20,56,126.13366071428571,112.627,,,
3,21,55,128.88756363636364,116.239,,,
3,22,56,127.27123214285714,112.592,,,
3,67,56,127.49864285714285,114.59,,,
4,1,57,97.02242105263157,94.915,,,
4,2,56,98.79789285714286,95.924,,,
4,3,57,97.65578947368421,95.816,,,
4,4,57,97.56064912280702,95.722,,,
4,5,57,98.00010526315789,95.52,,,
4,6,48,98.94960416666667,96.153,,,
4,7,57,98.01731578947368,95.41,,,
4,8,57,97.37261403508772,95.498,,,
4,9,56,98.69325,95.706,,,
4,10,57,97.38705263157895,94.574,,,
4,12,57,97.77773684210527,95.441,,,
4,13,56,98.48244642857144,95.065,,,
4,15,57,96.79564912280702,94.556,,,
4,16,56,98.64910714285715,96.219,,,
4,17,57,97.82145614035088,95.165,,,
4,18,57,96.63477192982457,94.588,,,
4,20,57,96.7608596491228,94.756,,,
4,21,56,98.60523214285715,96.376,,,
4,22,57,97.29756140350878,94.901,,,
4,67,56,98.67689285714286,96.473,,,
5,1,65,89.84947692307692,83.839,,,
5,2,66,89.26536363636363,83.878,,,
5,3,66,89.46080303030303,83.621,,,
5,4,66,89.12678787878787,83.42,,,
5,5,7,128.285,88.719,,,
5,6,65,90.10943076923077,84.155,,,
5,8,17,99.87788235294117,84.49,,,
5,9,65,89.90478461538461,84.078,,,
5,10,65,89.86138461538461,84.134,,,
5,12,65,89.94010769230769,84.286,,,
5,13,66,89.24286363636364,83.089,,,
5,17,66,88.68372727272728,83.112,,,
5,18,66,88.47275757575757,82.899,,,
5,20,66,88.75974242424243,83.09,,,
5,21,65,90.31907692307692,83.796,,,
5,22,66,88.67057575757576,82.762,,,
6,1,77,79.05041558441559,75.706,,,
6,2,77,79.02912987012986,76.268,,,
6,3,78,77.92138461538461,75.772,,,
6,4,78,77.97591025641024,75.371,,,
6,5,51,78.14792156862745,75.672,,,
6,6,76,78.65055263157895,75.792,,,
