resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seg,year,round,circuitId,name,date,time_race,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverRef,number_driver,code,forename,surname,dob,nationality,url_driver,constructorRef,name_constructor,nationality_constructor,url_constructor,circuitRef,name_circuit,location,country,lat,lng,alt,url_circuit,status,url_season,position_quali,q1_seg,q2_seg,q3_seg,points_standing,position_standing,wins,points_sprint,position_sprint,points_constructor_standing,position_constructor_standing,wins_constructor_standing,points_constructor_result
1,18,1,1,22.0,1,1.0,1,1,10.0,58,1:34:50.616,5690616.0,39.0,2.0,1:27.452,218.3,1,87.452,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,hamilton,44.0,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,1.0,86.572,85.187,86.714,10.0,1.0,1.0,,,14.0,1.0,1.0,14.0
2,18,2,2,3.0,5,2.0,2,2,8.0,58,+5.478,5696094.0,41.0,3.0,1:27.739,217.586,1,87.739,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,85.96000000000001,85.518,87.236,8.0,2.0,0.0,,,8.0,3.0,0.0,8.0
3,18,3,3,7.0,7,3.0,3,3,6.0,58,+8.163,5698779.0,41.0,5.0,1:28.090,216.719,1,88.09,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,rosberg,6.0,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,86.295,86.059,88.687,6.0,3.0,0.0,,,9.0,2.0,0.0,9.0
4,18,4,4,5.0,11,4.0,4,4,5.0,58,+17.181,5707797.0,58.0,7.0,1:28.603,215.464,1,88.60300000000001,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,alonso,14.0,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,86.907,86.188,,5.0,4.0,0.0,,,5.0,4.0,0.0,5.0
5,18,5,1,23.0,3,5.0,5,5,4.0,58,+18.014,5708630.0,43.0,1.0,1:27.418,218.385,1,87.418,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,85.664,85.452,87.07900000000001,4.0,5.0,0.0,,,14.0,1.0,1.0,14.0
6,18,6,3,8.0,13,6.0,6,6,3.0,57,,,50.0,14.0,1:29.639,212.974,11,89.639,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,nakajima,,NAK,Kazuki,Nakajima,1985-01-11,Japanese,http://en.wikipedia.org/wiki/Kazuki_Nakajima,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,14.0,86.89099999999999,86.413,,3.0,6.0,0.0,,,9.0,2.0,0.0,9.0
7,18,7,5,14.0,17,7.0,7,7,2.0,55,,,54.0,8.0,1:29.534,213.224,5,89.53399999999999,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,bourdais,,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,18.0,87.446,,,2.0,7.0,0.0,,,2.0,5.0,0.0,2.0
8,18,8,6,1.0,15,8.0,8,8,1.0,53,,,20.0,4.0,1:27.903,217.18,5,87.90299999999999,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,raikkonen,7.0,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,16.0,86.14,,,1.0,8.0,0.0,,,1.0,6.0,0.0,1.0
9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,9.0,1:28.753,215.1,4,88.753,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,kubica,88.0,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,2.0,86.10300000000001,85.315,86.869,,,,,,8.0,3.0,0.0,8.0
10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,13.0,1:29.558,213.166,3,89.55799999999999,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Accident,http://en.wikipedia.org/wiki/2008_Formula_One_season,9.0,86.919,86.164,89.593,,,,,,,,,0.0
